RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000115,3.4,1.1,0.0025,0.02,100,30,90,1,15,50,2506.237702,25.06237702,24.18233776,15.83481843,0.8724121451,52.07250977,96.5,67.3371086,71.5,23.11942138,-0.6646939303,2.645014655
run_000116,3.4,1.1,0.0025,0.02,100,30,95,1,15,50,1933.082158,19.33082158,19.35214329,12.04778015,0.8839212656,45.52057266,98.5,67.06886806,70.5,23.20152617,-0.5857009636,2.54618775
run_000117,3.4,1.1,0.0025,0.02,100,30,100,1,15,50,1533.557662,15.33557662,14.20573282,9.837965536,0,37.70640182,80.5,66.78025563,71.5,23.48900325,-0.677738544,2.650832418
run_000118,3.4,1.1,0.003,0.02,100,30,60,1,15,50,32318.08053,323.1808053,378.5422058,146.310194,7.623895645,491.285614,90.5,62.01814544,64.5,23.81026522,-0.3221542164,2.151894636
run_000119,3.4,1.1,0.003,0.02,100,30,65,1,15,50,16468.98325,164.6898325,184.733017,82.72911572,0.905308485,278.1322937,98.5,63.91428264,66.5,23.55891131,-0.4051453067,2.231568706
run_000120,3.4,1.1,0.003,0.02,100,30,70,1,15,50,9853.486717,98.53486717,105.200325,54.21373083,1.869733334,188.1078491,95.5,65.41445322,68.5,23.18154539,-0.462174457,2.302562248
run_000121,3.4,1.1,0.003,0.02,100,30,75,1,15,50,6318.58869,63.1858869,66.46242523,36.12803108,0.7363091707,128.4919128,89.5,66.09443272,69.5,23.33942734,-0.5010299302,2.348654316
run_000122,3.4,1.1,0.003,0.02,100,30,80,1,15,50,4369.332727,43.69332727,43.99517441,25.94314211,0,86.47000122,93.5,66.65018042,70.5,23.15268584,-0.5866961047,2.48961112
run_000123,3.4,1.1,0.003,0.02,100,30,85,1,15,50,3297.781748,32.97781748,31.8973999,19.81040486,0.8884911537,75.15206909,99.5,66.76600907,70.5,23.11607745,-0.5750190687,2.484244422
run_000124,3.4,1.1,0.003,0.02,100,30,90,1,15,50,2448.635279,24.48635279,25.11301899,15.21967297,0,53.97784805,88.5,67.15370916,71.5,22.90657777,-0.6116447071,2.566820266
run_000125,3.4,1.1,0.003,0.02,100,30,95,1,15,50,1889.215876,18.89215876,18.0982008,11.60872986,0.8468429446,42.98552322,90.5,66.6980731,71.5,23.66504133,-0.6087891849,2.495674603
run_000126,3.4,1.1,0.003,0.02,100,30,100,1,15,50,1489.616666,14.89616666,14.08995914,9.614617268,0,37.07070541,95.5,66.89127378,69.5,22.83320395,-0.5492030926,2.504224272
